Mile_Category_<X,Cuisine,Restaurant_Name,Distance,On_campus,Gworld,Menu,Hours
1,Italian,Angolo Ristorante Italiano,0.7,no,no,http://angolodc.com/,sun-thurs: 11am-12am /Ê fri-sat: 11am-1am
1,Italian,Buca di Beppo,1,no,no,https://www.bucadibeppo.com/menu/?y_source=1_NDgxNzYwMi03MTUtbG9jYXRpb24ubWVudV91cmw%3D,sun-wed: 11am-9:30pm /Ê fri-sat: 11am-10pm
1,Italian,Pizza Movers and Calzones,1,no,yes,https://www.pizzamover.com/order/,mon-tues: 11am-2am /Ê wed-thurs /Ê sun: 11am-3am /Ê fri-sat: 11am-4:20am
1,Mexican,Baja Fresh,0.4,no,yes,https://order.bajafresh.com/menu/baja-fresh-30474/,mon-fri: 11am-8pm /Ê sat: 11am-5pm /Ê sun: closed
1,Mexican,Guapos,0.6,no,no,https://prod-client.waitbusters.com/online-ordering/5dcec037c9f99a1270dc4d49/menu,mon-fri: 11:30am-11pm /Ê fri: 11:30am-12am /Ê sat: 11am-12am /Ê sun: 11am-11pm
1,Mexican,El Centro,0.9,no,no,http://places.singleplatform.com/el-centro-df-0/menu#menu_3394635,mon-thurs: 4-10pm /Ê fri: 11am-3am /Ê sat:11am-4pm; 5pm-3am /Ê sun: 11am-10pm
1,Mexican,Los Cuates,1,no,yes,http://orderloscuatesdc.com/,sun-thurs: 11:30am-10pm /Ê fri-sat: 11:30am-11pm
1,Mexican,Sol,0.08,yes,yes,http://places.singleplatform.com/sol-mexican-grill-4/menu?ref=google,mon-thurs: 11am-10pm /Ê fri: 11am-9pm /Ê sat: 12-8pm /Ê sun: 12-9pm
1,Thai,Bua Thai,1,no,no,https://buadc.com/dinner-menu,mon-fri: 11:30am-3pm; 4pm-10pm /Ê sat-sun: 12-10pm
1,Thai,Thai Chef Restaurant,1.1,no,no,https://thaichefdc.com/menu/,sun-thurs: 11:30am-9:30pm /Ê fri-sat: 11:30am-10pm
1,Thai,Charm Thai,0.4,no,no,https://qmenu.us/#/charm-thai-washington,sun-thurs: 11am-10:30pm /Ê fri-sat: 11:30am-11pm
1,Thai,Mai Thai,0.9,no,no,http://www.maithaigeorgetown.com/,mon-fri: 12-10pm /Ê sat-sun: 12-10:30pm
1,Thai,Soi 38,0.5,no,no,http://www.soi38dc.com/menus,sun-thurs: 11am-10pm /Ê fri-sat: 11am-10:30pm
1,Mediterranean,Grk,0.2,yes,yes,http://grkfresh.com/,mon-fri: 11am-5pm /Ê sat-sun: closed
1,Mediterranean,Greek Deli,0.5,no,no,https://greekdelidc.com/menu/,mon-fri: 11am-3pm /Ê sat-sun: closed
1,Mediterranean,Moby Dick,0.8,no,no,http://places.singleplatform.com/moby-dicks-house-of-kabob/menu?ref=google,mon-fri: 11am-9pm /Ê sat: 12-9pm /Ê sun: 12-8pm
1,Mediterranean,Iron Gate,0.8,no,no,https://www.irongaterestaurantdc.com/,mon: closed /Ê tues-thurs: 5-9pm /Ê fri-sat: 3-10pm /Ê sun: 11am-2pm; 5-9pm
1,Mediterranean,Komi,1,no,no,https://happygyrotogo.square.site/,tues-sat: 5:30-8pm /Ê sun-mon: closed
1,Indian,Bindaas,0.3,yes,yes,https://www.bindaasdc.com/foggybottom,tues-thurs; sun: 11:30am-9pm /Ê fri-sat: 11:30am-9:30pm
1,Indian,Rasika,0.5,no,no,http://www.rasikarestaurant.com/westend/,mon: 11:30am-2:30pm; 5-9:30pm /Ê tues-fri: 11:30pm-2:30pm; 5-10:30pm /Ê sat: 4-10:30pm /Ê sun: 11am-2:30pm; 4-9:30pm
1,Indian,The Bombay Club,0.6,no,no,http://bombayclubdc.com/?wprmm-routing=export&menu_id=3,mon-thurs: 11:30am-2:30pm; 5-9:15pm /Ê fri: 11:30pm-2:30pm; 5-9:45pm /Ê sat: 5-9:45pm /Ê sun: closed
1,Indian,Flavors of India,0.5,no,yes,https://flavorsofindiatogo.com/menu/,mon-thurs: 11:30am-10pm /Ê fri-sat: 11:30am-10:30pm /Ê sun: 11:30am-9:45pm
1,Indian,Taj of India,0.7,no,yes,http://ordertajofindia.com/,mon-fthurs: 11:30am-3pm; 5-10:30pm /Ê fri: 5-11pm /Ê sat: 11:30am-11pm /Ê sun: 11:30am-10pm
3,American,The Fainting Goat,2.2,no,no,http://places.singleplatform.com/fainting-goat/menu?ref=google,mon-tues: closed /Ê wed-thurs: 5-10pm /Ê fri-sat: 11am-3pm; 5pm-12am /Ê sun: 11am-3pm; 5-10pm
3,American,Rhodeside Grill,2.5,no,no,https://digitalmarketing.blob.core.windows.net/10061/files/Rhodeside_MainMenu_R57_March2021.pdf,mon-fri: 11am-2am /Ê sat-sun: 10am-2am
3,American,Hardrock Cage,2,no,no,https://www.hardrockcafe.com/location/washington-dc/files/5513/M15.pdf,mon-sun: 11am-8pm
3,American,The Capitol Burger,1.7,no,no,https://www.thecapitalburger.com/menus?setRestaurant=3400&cmpid=br:tcb_ag:ie_ch:loc_ca:TCBGMB_sn:gmb_gt:washington-dc-3400_pl:menu_rd:1001,sun-thurs: 11am-9pm /Ê fri-sat: 11am-10pm
3,American,Yard House,1.9,no,no,https://www.yardhouse.com/menus?setRestaurant=8376&cmpid=br:yh_ag:ie_ch:loc_ca:YHGMB_sn:gmb_gt:washington-dc-8376_pl:menu_rd:1071,sun-thurs: 11am-12am /Ê fri-sat: 11am-2am
3,Chinese,Wok and Roll,1.7,no,no,http://www.wokandrolldc.com/,mon-tues: 11am-10pm /Ê wed; sun: 11am-1am /Ê thurs-sat: 11am-2am
3,Chinese,Mr. Chen's Organic Chinese Cuisine,2.1,no,no,https://www.trycaviar.com/store/mr--chen-s-organic-chinese-cuisine-washington-4853/en-US,mon-thurs: 11am-10:30pm /Ê fri-sat: 11am-11pm /Ê sun: 12-10pm
3,Chinese,Little China CafŽ,2.6,no,no,https://www.littlechinacafewashington.com/,mon-thurs: 11am-10pm /Ê fri-sat: 11am-11pm /Ê sun: 12-10pm
3,Chinese,Fortune Express,3,no,no,http://www.fortuneexpresswashingtondc.com/?utm_source=gmb&utm_medium=menu,mon-sat: 11am-11pm /Ê sun: 12-11pm
3,Chinese,Annie Chen's Sushi Bar and Grill,3,no,no,http://www.youngchowdc.com/?utm_source=gmb&utm_medium=menu,mon-sun: 11am-10pm
3,Japanese,Sushi Capitol,3,no,no,http://www.sushicapitol.com/,mon-fri: 12-8:30pm /Ê sat: 5-9pm /Ê sun: closed
3,Japanese,Wok and Roll,1.7,no,no,http://www.wokandrolldc.com/,mon-tues: 11am-10pm /Ê wed; sun: 11am-1am /Ê thurs-sat: 11am-2am
3,Japanese,Sushi Keiko,1.5,no,no,https://sushikeiko.com/online-order,mon: 4:30-8:30pm /Ê tues-thurs: 11:30am-8:30pm /Ê fri: 11:30am-9pm /Ê sat: 4:30-9pm /Ê sun: closed
3,Japanese,Kintaro,2.7,no,no,http://places.singleplatform.com/kintaro-3/menu?ref=google,mon: closed /Ê tues-sun: 12-2:30pm; 5-9pm
3,Japanese,Umi Japanese Cuisine,2.8,no,no,http://www.umijapanesecuisine.com/?utm_source=gmb&utm_medium=menu,mon-sun: 11:30am-4pm; 5-10pm
3,Korean,SeoulSpice,2.5,no,no,https://www.seoulspice.com/pickup,wed-mon: 11am-10-m /Ê tues: 11am-3pm
3,Korean,taKorean,2.9,no,no,http://takorean.com/menu,mon-sun: 11am-9pm
3,Korean,Iron Age,2,no,no,https://ironagech.wixsite.com/ironagedc,mon-thurs: 4pm-12am /Ê fri-sun: 11am-12am
